ObjectID,X,Y,School,City,GradeLevels
1,767637.23167577,315674.50617952,1ST CLASS MONTESSORI - MEMPHIS,Memphis,"PK,K"
2,828609.47361461,327549.00838232,1ST CLASS MONTESSORI SCHOOL - CORDOVA,Cordova,"PK,K,1,2,3"
3,757231.10957349,307890.57621781,A B HILL ELEMENTARY,Memphis,"PK,K,1,2,3,4,5"
4,2168767.2118905,748347.64936167,A H ROBERTS ELEMENTARY,Livingston,"PK,K,1,2,3,4"
5,2536256.89127976,569511.28623458,A L LOTTS ELEMENTARY,Knoxville,"K,1,2,3,4,5"
6,771203.19803545,280124.28354659,A. MACEO WALKER MIDDLE SCHOOL,Memphis,"6,7,8"
7,2252345.61067826,260524.649944,A. W. SPALDING ELEMENTARY SCHOOL,Collegedale,"K,1,2,3,4,5,6,7,8"
8,1771965.59699184,615629.39266566,A. Z. KELLEY ELEMENTARY SCHOOL,Antioch,"K,1,2,3,4,5"
9,1801613.15289302,725138.20627935,AARON ACADEMY,Hendersonville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
10,1703425.22227834,650738.84691976,ABINTRA MONTESSORI SCHOOL,Nashville,"PK,K,1,2,3,4,5,6,7,8"
11,1085882.97122777,346908.8231948,ABUNDANT LIFE CHRISTIAN ACADEMY,Bolivar,"K,1,2,3,4,5,6,7,8,9,10,11,12"
12,916981.74794676,527197.40727984,ABUNDANT LIFE CHRISTIAN SCHOOL,Ripley,
13,1586908.41891752,799011.39842768,ACADEMY FOR ACADEMIC EXCELLENCE,Clarksville,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12"
14,1570395.2475476,800772.91852667,ACADEMY FOR KEENER MINDS,Clarksville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
15,2461014.71499276,444340.72620876,ACHIEVEMENT ACADEMY OF MONROE,Monroe,"K,1,2,3,4,5,6,7,8,9,10"
16,1255974.49584777,335995.47219315,ADAMSVILLE ELEMENTARY,Adamsville,"PK,K,1,2,3,4,5,6"
17,1246458.67173554,333105.22702887,ADAMSVILLE JUNIOR / SENIOR HIGH SCHOOL,Adamsville,"7,8,9,10,11,12"
18,2106758.05342875,654243.90220208,ADAPT PLATEAU MENTAL HEALTH - ENDEAVOR,Cookeville,"7,8,9,10,11,12"
19,2180909.45603404,258992.3252712,ADONAI ACADEMY,Chattanooga,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
20,2586647.51129884,637372.53207351,ADRIAN BURNETT ELEMENTARY,Knoxville,"K,1,2,3,4,5"
21,2346447.3171595,339167.34042733,ADVENT HOME LEARNING CENTER,Calhoun,"6,7,8,9,10,11,12"
22,1667508.77412067,464181.26329925,AGATHOS SCHOOL OF COLUMBIA,Columbia,"PK,K,1,2,3,4,5,6,7"
23,778955.41995252,295979.46198301,AIRWAYS MIDDLE SCHOOL,Memphis,"6,7,8"
24,3067966.20833112,833199.95462198,AKARD MEMORIAL ELEMENTARY,Bristol,"K,1,2,3,4,5"
25,1705742.57794035,638243.43986524,AKIVA SCHOOL,Nashville,"K,1,2,3,4,5,6"
26,789032.39737582,309303.82431928,AL-NOOR ISLAMIC SCHOOL,Memphis,
27,1045066.89369163,542560.13456357,ALAMO ELEMENTARY,Alamo,"PK,K,1,2,3,4,5,6"
28,2569171.66829784,537424.46064458,ALCOA ELEMENTARY,Alcoa,"PK,K,1,2,3,4"
29,2567359.88770354,537416.31616077,ALCOA HIGH SCHOOL,Alcoa,"9,10,11,12"
30,2567712.55872209,537776.6579515,ALCOA MIDDLE SCHOOL,Alcoa,"5,6,7,8"
31,770522.25533326,295491.49571844,ALCY ELEMENTARY,Memphis,"K,1,2,3,4,5"
32,766345.21144041,295760.1993816,ALCY S D A SCHOOL,Memphis,"K,1,2,3,4,5,6,7,8"
33,1723355.72250494,699643.75029083,ALEX GREEN ELEMENTARY,Whites Creek,"PK,K,1,2,3,4"
34,1130949.05845868,483372.22543716,ALEXANDER ELEMENTARY,Jackson,"PK,K,1,2,3,4,5,P3,P4"
35,2129916.88079867,671231.94171676,ALGOOD ELEMENTARY,Algood,"K,1,2,3,4"
36,2129894.68607602,664646.82760163,ALGOOD MIDDLE SCHOOL,Cookeville,"K,1,2,3,4,5,6,7,8"
37,2755495.1473562,683427.49934659,ALL SAINTS' EPISCOPAL SCHOOL,Morristown,"K,1,2,3,4,5,6,7,8"
38,2297873.70810129,746593.5662455,ALLARDT ELEMENTARY,Allardt,"K,1,2,3,4,5,6,7,8,P4"
39,2221960.12285567,330661.0034982,ALLEN ELEMENTARY,Soddy Daisy,"K,1,2,3,4,5,P3,P4"
40,1702658.82590948,518807.17482578,ALLENDALE ELEMENTARY SCHOOL,Spring Hill,"K,1,2,3,4,5,6"
41,2161184.6064683,766471.13950298,ALLONS ELEMENTARY,Allons,"K,1,2,3,4,5,6,7,8,P4"
42,2690510.74090794,565238.20291726,ALPHA EDUCATIONAL LEARNING CENTER,Sevierville,"6,7,8,9,10,11,12"
43,2739682.37091093,681664.08620674,ALPHA ELEMENTARY,Morristown,"K,1,2,3,4,5"
44,2186528.97791832,290966.23100457,ALPINE CREST ELEMENTARY,Chattanooga,"K,1,2,3,4,5"
45,759391.49059364,300933.02172586,ALTON ELEMENTARY,Memphis,"PK,K,1,2,3,4,5"
46,820954.80986389,343667.79639759,ALTRURIA ELEMENTARY,Bartlett,"PK,K,1,2,3,4,5"
47,2281650.05186101,759570.18301736,ALVIN C. YORK INSTITUTE,Jamestown,"9,10,11,12"
48,790942.53775535,293889.13177135,AMERICAN WAY MIDDLE,Memphis,"6,7,8"
49,2543320.53794622,604276.71835395,AMHERST ELEMENTARY SCHOOL,Knoxville,"K,1,2,3,4,5,N"
50,1760923.61146299,706888.11812261,AMQUI ELEMENTARY,Madison,"PK,K,1,2,3,4"
51,2530882.83116175,669517.54816392,ANDERSON COUNTY CAREER  TECHNICAL CENTER,Clinton,"10,11,12"
52,2520226.87708002,652465.35293768,ANDERSON COUNTY HEAD START / PRESCHOOL,Clinton,P3
53,2530882.83116175,669520.15216134,ANDERSON COUNTY HIGH SCHOOL,Clinton,"9,10,11,12"
54,996301.88235405,475103.7625513,ANDERSON EARLY CHILDHOOD,Brownsville,"PK,K"
55,3087003.12802664,842127.5040616,ANDERSON ELEMENTARY,Bristol,"K,1,2,3,4,5,6"
56,2548118.44442821,684064.07392869,ANDERSONVILLE ELEMENTARY,Andersonville,"PK,K,1,2,3,4,5"
57,1784766.34833209,691532.91292575,ANDREW JACKSON ELEMENTARY,Old Hickory,"K,1,2,3,4"
58,1125133.32311261,493565.60413676,ANDREW JACKSON ELEMENTARY SCHOOL,Jackson,"K,1,2,3,4,5"
59,1286494.83372228,720799.18182092,ANNABEL ACADEMY,Paris,"4,5,6,7,8,9,10,11"
60,2202221.74113704,247222.17848758,ANNOOR ACADEMY OF CHATTANOOGA,Chattanooga,"K,1,2,3,4,5,6,7,8,9,10,11,12"
61,2528550.20918658,572456.703244,ANNOOR ACADEMY OF KNOXVILLE,Knoxville,"K,1,2,3,4,5"
62,1790548.42067733,623755.53820093,ANTIOCH HIGH SCHOOL,Antioch,"9,10,11,12"
63,1769765.40293391,628017.35577666,ANTIOCH MIDDLE SCHOOL,Antioch,"5,6,7,8"
64,2251024.82684831,243472.92420862,APISON ELEMENTARY SCHOOL,Apison,"K,1,2,3,4,5,P3,P4"
65,1772635.31841728,631817.93732536,APOLLO MIDDLE SCHOOL,Antioch,"5,6,7,8"
66,2548742.36677282,521875.8775877,APOSTOLIC CHRISTIAN ACADEMY,Maryville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
67,2562395.4328346,608252.95743875,APOSTOLIC CHRISTIAN SCHOOL,Knoxville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
68,2969591.46358527,831827.3718376,APOSTOLIC GOSPEL ACADEMY,Kingsport,"K,4,5,6,7,8,9,10,11,12"
69,2999859.6861852,829630.35129727,APPLACHIAN CHRISTIAN SCHOOL,Kingsport,"K,1,2,3,4,5,6,7,8,9,10,11,12"
70,831990.88577659,347235.80263683,APPLING MIDDLE SCHOOL,Bartlett,"6,7,8"
71,757123.76805648,270056.87995222,ARETE CHRISTIAN ACADEMY,Memphis,"1,2,3,4,5,6,7,8,9,10,11,12"
72,873994.94878929,367533.8418276,ARLINGTON ELEMENTARY,Arlington,"K,1,2,3,4,5"
73,1125965.89279996,482971.63755325,ARLINGTON ELEMENTARY SCHOOL,Jackson,"PK,K,1,2,3,4,5,P3,P4"
74,865422.09951973,363600.55299129,ARLINGTON HIGH SCHOOL,Arlington,"9,10,11,12"
75,866347.79803813,363933.70081256,ARLINGTON MIDDLE SCHOOL,Arlington,"6,7,8"
76,2307179.8948565,303305.29616399,ARNOLD,Cleveland,"K,1,2,3,4,5,P4"
77,1753700.37015309,622799.60623131,ARTIOS ACADEMY,Nashville,"K,1,2,3,4,5,6,7,8,9,10"
78,1655246.78481095,707168.88728153,ASHLAND CITY ELEMENTARY,Ashland City,"PK,K,1,2,3,4"
79,3034117.94312786,744382.4305861,ASHLEY ACADEMY,Johnson City,"PK,K,1,2,3,4,5,6,7,8"
80,2383718.43224968,404050.49839042,ATHENS JUNIOR HIGH SCHOOL,Athens,"7,8,9"
81,846332.29738244,417930.14221902,ATOKA ELEMENTARY SCHOOL,Atoka,"K,1,2,3,4,5,P4"
82,1939776.20464757,586808.30677507,AUBURN ELEMENTARY,Auburntown,"K,1,2,3,4,5,6,7,8"
83,1118941.74297608,517323.71311651,AUGUSTINE SCHOOL,Jackson,"PK,K,1,2,3,4,5,6,7,8"
84,2593595.28906992,609707.94731092,AUSTIN EAST HIGH/MAGNET,Knoxville,"9,10,11,12"
85,883682.96227609,428753.11138108,AUSTIN PEAY ELEMENTARY SCHOOL,Covington,"K,1,2,3,4,5,P3,P4"
86,1572107.55470465,806311.66256692,AUSTIN PEAY STATE UNIVERSITY CHILD LEARNING CNTR.,Clarksville,P4
87,2122067.92690325,665737.04376359,AVERY TRACE MIDDLE SCHOOL,Cookeville,"5,6,7,8"
88,3071851.89937809,822142.56134819,AVOCA ELEMENTARY,Bristol,"K,1,2,3,4,5,6"
89,802051.63696313,317132.17176591,AVON LENOX SCHOOL,Memphis,"K,1,2,3,4,5,6,7,8,9,10,11,12"
90,2188118.87102176,262469.74021391,AVONDALE S D A SCHOOL,Chattanooga,"K,1,2,3,4,5,6,7,8"
91,759346.98416691,314158.43747837,B T WASHINGTON HIGH SCHOOL,Memphis,"9,10,11,12"
92,2280386.62128998,289759.47865445,BACHMAN ACADEMY,Mcdonald,"6,7,8,9,10,11,12"
93,1752030.97940851,676324.1405664,BAILEY MIDDLE SCHOOL,Nashville,"5,6,7,8"
94,854015.55727833,283785.48826475,BAILEY STATION ELEMENTARY SCHOOL,Collierville,"K,1,2,3,4,5"
95,2899584.09962526,742985.05671885,BAILEYTON ELEMENTARY,Greeneville,"PK,K,1,2,3,4,5,6,7,8"
96,2524304.24118849,594816.72704243,BALL CAMP ELEMENTARY,Knoxville,"K,1,2,3,4,5"
97,1767444.40381719,671363.08904256,BAMBINI MONTESSORI,Nashville,"PK,PS,K"
98,1078274.75803727,771064.52551576,BAPTIST TEMPLE ACADEMY,Union City,"K,1,2,3,4,5,6,7,8,9,10,11,12"
99,1078274.75803727,771064.52551576,BAPTIST TEMPLE ACADEMY,Union City,"K,1,2,3,4,5,6,7,8,9,10,11,12"
100,818335.88323102,305709.98673851,BARBARA LIPMAN EARLY LRNG. CTR. TEMPLE ISRAEL,Memphis,K
101,1847398.15777953,529881.74607126,BARFIELD ELEMENTARY,Murfreesboro,"PK,K,1,2,3,4,5"
102,2199231.45096456,248474.15355611,BARGER ACADEMY,Chattanooga,"K,1,2,3,4,5"
103,1229251.81828725,518773.00516542,BARGERTON ELEMENTARY,Lexington,"K,1,2,3,4,5,6,7,8,P3,P4"
104,1562721.6920286,838964.10395517,BARKERS MILL ELEMENTARY SCHOOL,Clarksville,"K,1,2,3,4,5"
